date,trend,ipca,selic,IBC-Br,icom,expectativa,dolar,icon,ibov,open,high,low,close,adjclose,volume,ticker
2011-01-01,Uptrend,0.83,10.943548387096774,"132,66","106,1","163,71","1,67411428571429",1525.61,66575,9.26496410369873,9.492897987365723,7.756331920623779,7.93671178817749,6.187788009643555,149128856,LREN3.SA
2011-02-01,Uptrend,0.8,11.25,"136,18","111,4","166,17","1,66719",1533.05,67383,8.03346061706543,8.736943244934082,7.756331920623779,8.36306381225586,6.520191192626953,120569757,LREN3.SA
2011-03-01,Uptrend,0.79,11.71774193548387,"144,93","105,3","162,43","1,6583",1629.59,68587,8.364704132080078,9.05998706817627,8.14004898071289,8.672989845275879,6.7618207931518555,106565665,LREN3.SA
2011-04-01,Uptrend,0.77,11.8,"139,89","108,5","163,01","1,58564736842105",1672.59,66133,8.672989845275879,9.66015911102295,8.625434875488281,9.519135475158691,7.440604209899902,87893355,LREN3.SA
2011-05-01,Uptrend,0.47,12.0,"143,23","106,4","155,6","1,61269090909091",1636.41,64620,9.51257610321045,9.819222450256348,8.896004676818848,9.814302444458008,7.843418598175049,108838470,LREN3.SA
2011-06-01,Uptrend,0.15,12.183333333333334,"141,75","108,2","156,42","1,58624285714286",1620.21,62404,9.715912818908691,10.24393367767334,9.100981712341309,9.756909370422363,7.797553062438965,109873248,LREN3.SA
2011-07-01,Uptrend,0.16,12.338709677419354,"145,19","106,6","154,47","1,5631380952381",1524.32,58823,9.776585578918457,10.114389419555664,8.650032043457031,8.989474296569824,7.201478004455566,99709191,LREN3.SA
2011-08-01,Uptrend,0.37,12.5,"147,51","106,8","154,64","1,59620869565217",1596.62,56495,9.202651023864746,9.888093948364258,7.192234992980957,9.814302444458008,7.862253665924072,189240653,LREN3.SA
2011-09-01,Uptrend,0.53,12.0,"142,3","105,6","155,29","1,74897619047619",1498.44,52324,10.15046501159668,10.822789192199707,7.8088059425354,8.305670738220215,6.653683662414551,171428298,LREN3.SA
2011-10-01,Uptrend,0.43,11.806451612903226,"142,02","102,3","153,85","1,77187",1618,58338,8.19908332824707,9.369912147521973,7.83832311630249,8.536885261535645,6.8578643798828125,126794044,LREN3.SA
2011-11-01,Uptrend,0.52,11.5,"141,87","102,6","159,55","1,789775",1643.2,56875,8.19908332824707,8.96159839630127,7.985907077789307,8.887805938720703,7.139767646789551,108943876,LREN3.SA
2011-12-01,Uptrend,0.5,11.0,"139,23",103,"163,28","1,83619090909091",1693.07,56754,8.923881530761719,9.074745178222656,7.280785083770752,7.938352108001709,6.377050876617432,100103863,LREN3.SA
2012-01-01,Uptrend,0.56,10.790322580645162,"133,34","102,9","162,6","1,78901363636364",1773.86,63072,7.938352108001709,9.966805458068848,7.938352108001709,9.674918174743652,7.794597625732422,112661365,LREN3.SA
2012-02-01,Uptrend,0.45,10.5,"135,35","104,8","171,7","1,71775789473684",1927.4,65812,9.756909370422363,10.81295108795166,9.51093578338623,10.721120834350586,8.637468338012695,98330495,LREN3.SA
